Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCostRet	StdEpCostRet	MaxEpCostRet	MinEpCostRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-1.1080003	0.6986855	0.5976301	-2.705533	1000.0	2.5016949e-05	0.00013472038	0.00075050845	0.0	8.275054	14.597224	52.587128	0.0	248.25163	0.008275054423014324	0.007900243	0.13342999	0.42769885	-0.47081828	30000	-9.155274e-09	0.062379625	-0.020473646	-0.027220167	0.9189386	0.01498845	1175.3188116550446
1	-0.89913815	0.65388113	0.5914059	-2.2884386	1000.0	0.00045145658	0.0024311682	0.013543697	0.0	5.3162937	11.197495	52.72164	0.0	407.74045	0.006795674133300782	-0.07752987	0.046380624	0.11023688	-0.24968225	60000	9.155274e-09	0.033955473	-0.021795582	-0.0032050703	0.9187733	0.011973902	2370.4030594825745
2	-0.81754917	0.6855433	0.37581018	-2.1284018	1000.0	6.1460616e-19	3.308561e-18	1.8431751e-17	0.0	8.005305	13.720271	56.65015	0.0	647.8996	0.007198884412977431	-0.05693051	0.037236813	0.073261224	-0.25992912	90000	-1.525879e-08	0.030712102	-0.020867301	-0.0029737893	0.9184867	0.008321747	3513.9040076732635
3	-0.8307935	0.8475815	0.8922243	-2.6895387	1000.0	1.5733053e-12	8.472507e-12	4.7199158e-11	0.0	3.8689902	9.007623	30.289114	0.0	763.9693	0.006366410827636719	-0.05743736	0.06295396	0.17173213	-0.32432336	120000	3.5603842e-09	0.029411117	-0.025534183	-0.0030994266	0.9193799	0.015437983	4685.53214263916
4	-0.772455	0.87398624	0.8441118	-3.0523298	1000.0	0.000113551294	0.00061149243	0.0034065389	0.0	3.3856132	7.3857064	32.62244	0.0	865.5377	0.00577025146484375	-0.07478285	0.09795921	0.14757904	-0.6793508	150000	-1.5767416e-08	0.035450652	-0.027638657	-0.0066538006	0.919171	0.011201033	5862.342884540558
5	-1.0699861	0.80347735	1.0175471	-2.2074347	1000.0	1.4138295e-16	7.6137055e-16	4.2414887e-15	0.0	4.6307306	8.123821	25.98855	0.0	1004.45966	0.005580331420898438	-0.05109931	0.03224089	0.07167402	-0.23360929	180000	-9.155274e-09	0.036152977	-0.028469803	-0.0019762963	0.91876435	0.013245212	7019.481430053711
6	-0.468181	0.6173083	1.0091226	-2.10841	1000.0	3.0626692e-09	1.6079515e-08	8.9626106e-08	0.0	6.4200807	12.828785	49.097855	0.0	1197.062	0.005700295293898809	-0.07396315	0.026681878	0.029369302	-0.23601592	210000	1.0935466e-08	0.027943496	-0.029031986	-0.0051493123	0.9188352	0.009600359	8257.282037734985
7	-0.6267544	0.62355345	0.71505886	-1.9011357	1000.0	1.6470112e-08	8.869326e-08	4.940979e-07	0.0	8.475225	16.961765	75.288506	0.0	1451.3187	0.006047161356608073	-0.024074353	0.06868089	0.1892254	-0.34155887	240000	4.0690105e-09	0.030734539	-0.02956112	-0.003365077	0.91942024	0.009902796	9419.878595352173
8	-0.76295	0.86120486	0.7105024	-2.9703107	1000.0	1.3846813e-10	7.4567374e-10	4.1540438e-09	0.0	4.0537357	8.171296	33.02053	0.0	1572.9309	0.005825670030381944	-0.04400856	0.04999407	0.10338177	-0.29927152	270000	5.086263e-09	0.03057417	-0.03652775	-0.0018488411	0.9195014	0.016657349	10650.223875761032
9	-0.7490486	0.7952199	0.8976374	-2.7862146	1000.0	0.00028386552	0.0015286625	0.008515964	0.0	5.643377	11.185835	42.97925	0.0	1742.2322	0.005807440592447917	-0.049684856	0.04475629	0.10501371	-0.29333708	300000	2.0345052e-09	0.035649307	-0.039783392	-0.0026118606	0.91893184	0.017361548	11857.87264752388
10	-0.65719724	0.83317757	0.88892657	-2.657033	1000.0	1.3247747e-09	7.133666e-09	3.974074e-08	0.0	7.431754	16.86129	57.928806	0.0	1965.1848	0.005955105498342803	-0.07500117	0.07020569	0.12247874	-0.5041575	330000	1.2207032e-08	0.036922067	-0.040035304	-0.0048400946	0.91847646	0.015539958	13067.205003499985
11	-0.5190436	0.8028792	0.85792387	-2.36714	1000.0	0.0005742873	0.003092632	0.01722862	0.0	3.548464	8.954191	42.540585	0.0	2071.6387	0.005754551866319444	-0.0532181	0.067684904	0.19591035	-0.34230742	360000	1.3224284e-08	0.038343985	-0.040746678	-0.0030435137	0.9192822	0.012583981	14249.382003307343
12	-0.9075326	0.96942693	0.7236676	-3.0404122	1000.0	3.239994e-05	0.00017447905	0.00097199826	0.0	5.463445	10.177449	40.295094	0.0	2235.542	0.005732158954326923	-0.036612723	0.053061783	0.15435009	-0.25391608	390000	1.0172526e-09	0.039013952	-0.040482946	-0.002404552	0.9193074	0.01634363	15398.263751983643
13	-0.7614399	0.6032927	0.2699514	-2.2669158	1000.0	3.5823712e-07	1.9291658e-06	1.0747113e-05	0.0	4.131845	11.912624	64.09722	0.0	2359.4973	0.005617850748697917	-0.04901648	0.048892774	0.122556664	-0.28332803	420000	4.0690105e-09	0.03166059	-0.040786743	-0.0017431136	0.91902333	0.013946525	16538.18298149109
14	-0.95801157	0.813436	0.67117214	-2.3882947	1000.0	7.65228e-07	2.9075272e-06	1.3436783e-05	0.0	9.805518	18.536966	79.82448	0.0	2653.6628	0.005897028537326389	-0.044747107	0.047398448	0.13409582	-0.35741737	450000	-9.6639e-09	0.03225962	-0.041880745	-0.0021009818	0.91844946	0.014779396	17629.30288362503
15	-0.6608414	0.6842425	0.7114627	-2.3456745	1000.0	4.295731e-06	2.3122031e-05	0.00012881168	0.0	3.9956431	7.088891	28.472565	0.0	2773.5322	0.005778192138671875	-0.07591648	0.0685832	0.1724161	-0.5346787	480000	-6.103516e-09	0.027285883	-0.042580616	-0.003509298	0.91790354	0.011791283	18676.65169119835
16	-0.88121414	0.69852394	0.4174583	-2.2930062	1000.0	0.0032655888	0.01758573	0.09796766	0.0	2.5140045	7.2658777	38.30386	0.0	2848.9524	0.005586181161917892	-0.03542162	0.07969678	0.13426074	-0.44584104	510000	-6.103516e-09	0.03468748	-0.043507498	-0.0025275312	0.9168283	0.012017107	19772.51464343071
17	-0.8093914	0.765956	0.5737207	-2.3691216	1000.0	1.0105994e-06	5.44224e-06	3.031796e-05	0.0	10.2892065	18.122082	62.695324	0.0	3157.6287	0.005847460485387731	-0.080673486	0.0695817	0.14026293	-0.48855135	540000	1.2207032e-08	0.032943454	-0.049867958	-0.0038470197	0.91691744	0.017322728	20860.998398542404
18	-1.0493898	0.7885602	0.68784857	-2.342282	1000.0	1.8915518e-12	1.0186317e-11	5.6746552e-11	0.0	5.6438446	11.731597	58.313362	0.0	3326.9438	0.005836743592379386	-0.044382986	0.06684695	0.13631994	-0.47719386	570000	1.0172526e-08	0.043222398	-0.051138736	-0.0051044933	0.9173394	0.016657002	21911.593027114868
19	-0.7449178	0.7358529	0.6194696	-1.9830726	1000.0	1.0229256e-06	5.508624e-06	3.068777e-05	0.0	5.2196317	8.48748	29.263529	0.0	3483.533	0.005805888264973958	-0.077998355	0.06271955	0.10311483	-0.5144755	600000	5.086263e-09	0.03185423	-0.053561714	-0.004298294	0.91869897	0.017949568	22993.60842704773
