Epoch	EpRet	EpLen	EpCostRet	EpCost	EpMaxCost	CumulativeCost	CostRate	VVals	TotalEnvInteracts	LossPi	LossV	LossCost	DeltaLossPi	DeltaLossV	DeltaLossCost	Entropy	KL	Time
0	-0.013833081	991.93335	0.0	0.23333333	0.06666667	7.0	0.00023333333333333333	0.02623032	30000	-5.086263e-10	0.030823527	-9.536743e-07	-0.0018667977	-0.014201283	-0.079133004	0.91893816	0.012947364	104.8617570400238
1	0.2923083	919.1875	0.0	0.4375	0.125	21.0	0.00035	-0.0010353834	60000	-1.3224284e-08	0.032016724	-3.5762787e-07	-0.0027471913	-0.0075073484	-0.06760341	0.91896266	0.01840462	187.38034009933472
2	0.54171014	870.1177	0.0	0.5588235	0.14705883	40.0	0.00044444444444444447	0.04018984	90000	6.103516e-09	0.043473713	4.4878792e-07	-0.005403467	-0.0068691224	-0.2571061	0.9189522	0.010448938	284.5786883831024
3	0.82838917	856.2857	2.653079e-13	0.22857143	0.114285715	48.0	0.0004	0.047227055	120000	9.791057e-09	0.034470025	3.8146973e-07	-0.00044931602	-0.005956784	-0.00036833627	0.9193547	-2.8378456e-05	390.3114581108093
4	0.80617774	926.3125	0.0	0.71875	0.125	71.0	0.0004733333333333333	0.07978424	150000	-2.0345052e-09	0.020859823	1.4901161e-08	-0.004414836	-0.002362445	-0.01188615	0.91937256	0.0049009216	493.3205087184906
5	0.8640756	857.17645	1.4841131e-35	0.05882353	0.029411765	73.0	0.00040555555555555554	0.08251769	180000	3.306071e-09	0.030035855	-2.8049245e-08	-0.004572254	-0.003739167	-0.2596728	0.91802853	0.014710252	597.3886470794678
6	1.0031233	801.2973	1.2764303e-05	0.5675676	0.1891892	94.0	0.0004476190476190476	0.091432415	210000	4.0690105e-09	0.027829008	0.0	-0.0034890543	-0.007857308	-0.0062971376	0.91704583	0.0003351764	680.485194683075
7	1.5766255	610.9375	0.0	0.041666668	0.041666668	96.0	0.0004	0.21704055	240000	-7.1207684e-09	0.02696424	6.556511e-07	-0.0048016347	-0.0045619607	-0.02280428	0.9161207	0.011541443	788.2723438739777
8	1.8622764	615.6875	1.08965746e-29	0.45833334	0.083333336	118.0	0.00043703703703703705	0.2438181	270000	2.0345052e-09	0.023018202	2.3841858e-07	-0.0059240763	-0.0052153002	-0.00047699612	0.91431266	0.0019883243	881.4290456771851
9	1.6543647	622.7659	0.00018372783	0.5319149	0.12765957	144.0	0.00048	0.24520327	300000	1.3224284e-08	0.026591672	3.2465508e-07	-0.0072222	-0.0052383803	-0.0050040707	0.9136811	0.0032713374	990.8251621723175
10	1.8907295	561.81134	3.5936297e-22	0.5849057	0.1509434	175.0	0.0005303030303030304	0.26947275	330000	-1.2207032e-08	0.02449751	2.1592626e-07	-0.0073823985	-0.0049802624	-0.05635046	0.91286355	0.011745535	1103.2356181144714
11	1.9229333	507.5345	3.2292e-41	0.1724138	0.06896552	185.0	0.0005138888888888889	0.3225571	360000	2.0345052e-09	0.030628175	4.7683716e-07	-0.010619114	-0.0032300986	-0.06654412	0.9125528	0.008625977	1236.7433004379272
12	2.2242625	533.1786	8.11423e-15	0.75	0.19642857	227.0	0.0005820512820512821	0.337029	390000	-2.5431315e-10	0.044152923	4.257475e-09	-0.0054814788	-0.0083898045	-0.024408132	0.9081999	0.010515543	1339.336237192154
13	2.1605868	445.1045	0.0	0.73134327	0.104477614	276.0	0.0006571428571428571	0.39431626	420000	-1.0172526e-08	0.043123674	7.116972e-08	-0.008652206	-0.010709804	-0.09048056	0.906355	0.010184608	1458.9005389213562
